price,discount_percent_percent,price_whitout_discount,day_release,month_release,year_release,type_review_Mixed,type_review_Mostly Negative,type_review_Mostly Positive,type_review_Overwhelmingly Positive,type_review_Positive,type_review_Very Positive,has_discount
0.0,1.0,0.0,0.6666666666666666,0.6363636363636364,0.2857142857142918,0.0,0.0,0.0,0.0,0.0,1.0,0
0.7476869217304326,1.0,0.5981196239247849,0.5666666666666667,0.36363636363636365,0.952380952380949,0.0,0.0,0.0,0.0,0.0,1.0,0
0.09977494373593397,0.4444444444444444,0.15963192638527704,0.16666666666666669,0.9999999999999999,0.8571428571428612,0.0,0.0,1.0,0.0,0.0,0.0,1
0.0,1.0,0.0,0.5666666666666667,0.0,0.7619047619047592,0.0,0.0,1.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.5333333333333333,0.0,0.904761904761898,0.0,0.0,0.0,0.0,0.0,1.0,0
0.7476869217304326,1.0,0.5981196239247849,0.8333333333333334,0.36363636363636365,0.952380952380949,0.0,0.0,0.0,0.0,0.0,1.0,0
0.5981495373843461,0.7777777777777778,0.5981196239247848,0.8333333333333334,0.09090909090909091,0.952380952380949,0.0,0.0,0.0,1.0,0.0,0.0,1
0.30005001250312574,1.0,0.24002800560112023,0.23333333333333334,0.09090909090909091,0.5714285714285694,0.0,0.0,0.0,0.0,0.0,1.0,0
0.45008752188047013,1.0,0.36005201040208046,0.13333333333333333,0.4545454545454545,0.952380952380949,0.0,0.0,0.0,0.0,0.0,1.0,0
0.0,1.0,0.0,0.1,0.9090909090909091,0.6666666666666714,0.0,0.0,1.0,0.0,0.0,0.0,0
0.1056514128532133,0.16666666666666663,0.33806761352270454,0.7666666666666667,0.0,0.6190476190476204,0.0,0.0,0.0,1.0,0.0,0.0,1
0.2700425106276569,1.0,0.21602320464092817,0.8,0.36363636363636365,0.952380952380949,0.0,0.0,0.0,0.0,0.0,1.0,0
0.0,1.0,0.0,0.8666666666666667,0.8181818181818182,0.7619047619047592,1.0,0.0,0.0,0.0,0.0,0.0,0
0.30005001250312574,1.0,0.24002800560112023,0.43333333333333335,0.36363636363636365,0.952380952380949,0.0,0.0,0.0,0.0,0.0,1.0,0
0.412353088272068,1.0,0.32986597319463895,0.1,0.4545454545454545,0.952380952380949,0.0,0.0,0.0,0.0,0.0,1.0,0
0.0,1.0,0.0,0.0,0.9999999999999999,0.4285714285714306,0.0,0.0,0.0,0.0,0.0,1.0,0
0.07999499874968742,0.7777777777777778,0.07999099819963992,0.03333333333333333,0.4545454545454545,0.952380952380949,0.0,0.0,1.0,0.0,0.0,0.0,1
0.18954738684671166,0.11111111111111105,0.7581516303260654,0.8,0.7272727272727273,0.904761904761898,1.0,0.0,0.0,0.0,0.0,0.0,1
0.49762440610152536,1.0,0.39807961592318464,0.06666666666666668,0.4545454545454545,0.952380952380949,0.0,0.0,0.0,0.0,0.0,1.0,0
0.0,1.0,0.0,0.1,0.36363636363636365,0.952380952380949,0.0,0.0,0.0,0.0,0.0,1.0,0
0.0,1.0,0.0,0.8,0.1818181818181818,0.3333333333333286,0.0,0.0,0.0,0.0,0.0,1.0,0
0.06674168542135533,0.2222222222222222,0.17796892711875706,0.7,0.09090909090909091,0.8571428571428612,0.0,0.0,0.0,0.0,0.0,1.0,1
0.2725681420355089,1.0,0.21804360872174436,0.06666666666666668,0.4545454545454545,0.952380952380949,1.0,0.0,0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.6666666666666666,0.9999999999999999,0.5238095238095184,1.0,0.0,0.0,0.0,0.0,0.0,0
0.18742185546386597,0.4444444444444444,0.2998599719943989,0.1,0.1818181818181818,0.904761904761898,0.0,0.0,0.0,0.0,0.0,1.0,1
0.0,1.0,0.0,0.5,0.1818181818181818,0.952380952380949,1.0,0.0,0.0,0.0,0.0,0.0,0
0.17501875468867215,1.0,0.14000800160032006,0.43333333333333335,0.4545454545454545,0.4761904761904816,0.0,0.0,1.0,0.0,0.0,0.0,0
0.7739434858714679,1.0,0.619123824764953,0.0,0.8181818181818182,0.952380952380949,0.0,0.0,0.0,0.0,0.0,1.0,0
